# BEAST v10.5.0
# Generated Wed May 20 15:37:16 CEST 2026 [seed=1779284235057]
# -beagle -overwrite X_dist_04.xml
state	joint	prior	likelihood	rootHeight	treeLength	tmrca(untitled0)	constant.popSize	kappa	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
52000	-10887.26820878058	3.708144565166413	-10890.976353345746	0.1655762258247496	0.3960121782341721	0.1655762258247496	0.06991411762473113	3.291991193120734	0.3469108467815047	1.0	1.0	-10890.976353345746	0.0	10.310457345451432
53000	-10886.799453098596	1.854361192699983	-10888.653814291296	0.18827865645388894	0.4361047145042042	0.18827865645388894	0.13243807290938472	3.437378451471849	0.3238966573323304	1.0	1.0	-10888.653814291296	0.0	9.09802739201338
54000	-10884.54319702955	3.504584289583333	-10888.047781319134	0.18066768271181213	0.42002805340830285	0.18066768271181213	0.040522962439101536	3.448834130482383	0.3107859116550196	1.0	1.0	-10888.047781319134	0.0	9.542705416562686
55000	-10892.421660470085	2.8626847102470627	-10895.284345180333	0.20140740409874128	0.46986383497475126	0.20140740409874128	0.08518844144018183	3.480718527174641	0.2822605628621011	1.0	1.0	-10895.284345180333	0.0	9.596685325310707
56000	-10890.087131417748	0.911898630759242	-10890.999030048506	0.20371364624247648	0.46427005230117324	0.20371364624247648	0.16622633872668696	3.4451525042003266	0.27469034523715624	1.0	1.0	-10890.999030048506	0.0	8.286793988458841
57000	-10886.178400529967	3.688697024651784	-10889.86709755462	0.17686406798359497	0.4172218039438537	0.17686406798359497	0.0727142953621885	3.006302474436308	0.33011954557956774	1.0	1.0	-10889.86709755462	0.0	10.197390882970938
58000	-10884.020331028145	3.7518260405060406	-10887.772157068652	0.17639362041277484	0.4164873074165331	0.17639362041277484	0.05275254097348306	3.163677598360521	0.3138233014259932	1.0	1.0	-10887.772157068652	0.0	9.962448431658398
59000	-10884.148762068511	3.3060466627285523	-10887.45480873124	0.19082522138573021	0.44708911386589084	0.19082522138573021	0.05331464280925525	3.263234634979021	0.31601940894934827	1.0	1.0	-10887.45480873124	0.0	9.565950131258885
60000	-10887.696380421316	3.560290727334017	-10891.256671148649	0.1677408848843742	0.40150645995346884	0.1677408848843742	0.07074180171795318	2.931133570619586	0.4292113358702776	1.0	1.0	-10891.256671148649	0.0	10.212943742166905
61000	-10886.899797130765	2.8592333778586454	-10889.759030508623	0.1761400516793169	0.42031861819144656	0.1761400516793169	0.0403709060681252	3.408203495602293	0.2989964194437734	1.0	1.0	-10889.759030508623	0.0	8.856408331649561
62000	-10886.810871007834	3.7626837165911002	-10890.573554724426	0.18853060667602156	0.4340002213386383	0.18853060667602156	0.07164070210021514	3.163926881615373	0.3304772239572759	1.0	1.0	-10890.573554724426	0.0	10.31246467160557
63000	-10885.62017672229	4.226076360542544	-10889.846253082833	0.17442988830628547	0.40508139661773035	0.17442988830628547	0.062246718941239	3.280120740643873	0.3001771365281302	1.0	1.0	-10889.846253082833	0.0	10.614817528676667
64000	-10886.45846253046	3.4627427156305988	-10889.92120524609	0.16534081586192448	0.3895187695557618	0.16534081586192448	0.08686657144290529	3.360885604498223	0.34959357049692336	1.0	1.0	-10889.92120524609	0.0	10.310714004218047
65000	-10885.233834483943	3.6333064001140425	-10888.867140884056	0.18155900375247422	0.4244281782450819	0.18155900375247422	0.04968653996545833	3.5588419758244303	0.30363760426732256	1.0	1.0	-10888.867140884056	0.0	9.89729936242492
66000	-10887.677116075607	4.021173773096198	-10891.698289848704	0.17952738369209115	0.4152872735910307	0.17952738369209115	0.039608341614347946	2.7560269111015896	0.27820646880237543	1.0	1.0	-10891.698289848704	0.0	9.729012014307589
67000	-10885.369013840253	3.298779075949348	-10888.667792916202	0.17832808556861895	0.41633891983900645	0.17832808556861895	0.0886957836346839	3.252781693722504	0.34836430433550863	1.0	1.0	-10888.667792916202	0.0	10.128319768451298
68000	-10886.141045684202	3.1957194663012327	-10889.336765150503	0.19519787269273864	0.4521537166018393	0.19519787269273864	0.048956733150596635	3.533051785023364	0.33666129012279566	1.0	1.0	-10889.336765150503	0.0	9.502466281056616
